AccessionNumber	PlantName	Location	CollectionTrip
2024-0001	Magnolia zenii	Garden A - Section 3	Spring 2024 East Asia
2024-0002	Quercus alba	Garden B - Oak Collection	Fall 2023 Appalachian
2024-0003	Acer palmatum	Garden C - Japanese Maples	
2024-0004	Cornus florida	Garden D - Dogwood Walk	Spring 2023 Southeast
2024-0005	Betula nigra	Garden B - Riparian Zone	Fall 2022 Mid-Atlantic
2024-0006	Cercis canadensis	Garden A - Understory	Spring 2024 Midwest
2024-0007	Pinus strobus	Garden E - Conifer Collection	
2024-0008	Liquidambar styraciflua	Garden D - Native Trees	Fall 2023 Gulf Coast
2024-0009	Taxodium distichum	Garden E - Wetland Section	Spring 2023 Louisiana
2024-0010	Magnolia grandiflora	Garden A - Section 5	Spring 2024 Southeast
